Date;Price;Open;High;Low;Vol
01/12/2024;10025;10000;10050;9750;14917000000
01/11/2024;10000;10275;10575;9800;154000000000
01/10/2024;10250;10400;10875;10150;150000000000
01/09/2024;10325;10375;10950;10125;163000000000
01/08/2024;10325;10200;10500;9875;134000000000
01/07/2024;10275;9850;10425;9800;138000000000
01/06/2024;9925;9350;9975;9050;147000000000
01/05/2024;9250;9900;9900;8775;244000000000
01/04/2024;9800;10075;10100;9250;198000000000
01/03/2024;10075;9900;10400;9750;150000000000
01/02/2024;9875;9650;10025;9525;153000000000
01/01/2024;9550;9400;9775;9300;151000000000
01/12/2023;9400;8925;9450;8675;173000000000
01/11/2023;8975;8750;9075;8600;144000000000
01/10/2023;8750;8900;9250;8700;155000000000
01/09/2023;8825;9200;9275;8825;128000000000
01/08/2023;9175;9175;9450;9100;145000000000
01/07/2023;9125;9025;9400;9025;132000000000
01/06/2023;9150;9150;9325;8950;103000000000
01/05/2023;9050;9100;9325;8700;188000000000
01/04/2023;9050;8825;9200;8650;106000000000
01/03/2023;8750;8725;8900;8250;184000000000
01/02/2023;8750;8575;8950;8400;128000000000
01/01/2023;8475;8575;8850;8000;185000000000
01/12/2022;8550;9275;9350;8350;192000000000
01/11/2022;9300;9000;9400;8550;192000000000
01/10/2022;8800;8450;8900;8125;168000000000
01/09/2022;8550;8150;8875;8125;237000000000
01/08/2022;8200;7350;8275;7350;204000000000
01/07/2022;7350;7300;7475;7000;142000000000
01/06/2022;7250;7625;7675;7250;199000000000
01/05/2022;7750;7875;7900;7250;261000000000
01/04/2022;8125;8075;8250;7625;171000000000
01/03/2022;7975;8000;8300;7650;225000000000
01/02/2022;8050;7775;8175;7650;131000000000
01/01/2022;7625;7325;7950;7300;147000000000
01/12/2021;7300;7275;7525;7275;128000000000
01/11/2021;7275;7550;7750;7175;154000000000
01/10/2021;7475;6900;8250;6710;202000000000
01/09/2021;7000;6550;7000;6410;147000000000
01/08/2021;6550;6060;6760;5905;177000000000
01/07/2021;5970;6060;6190;5960;122000000000
01/06/2021;6025;6500;6620;6000;158000000000
01/05/2021;6375;6480;6500;6260;168000000000
01/04/2021;6405;6215;6460;5980;197000000000
01/03/2021;6215;6830;7160;6145;237000000000
01/02/2021;6710;6760;7055;6595;141000000000
01/01/2021;6760;6800;7380;6705;183000000000
01/12/2020;6770;6220;7000;6220;201000000000
01/11/2020;6205;5760;6650;5720;253000000000
01/10/2020;5790;5485;5900;5440;146000000000
01/09/2020;5420;6280;6560;5390;282000000000
01/08/2020;6275;6220;6600;5825;110000000000
01/07/2020;6240;5700;6265;5675;150000000000
01/06/2020;5695;5260;5995;5240;222000000000
01/05/2020;5190;5150;5400;4680;238000000000
01/04/2020;5170;5560;6100;4800;255000000000
01/03/2020;5525;6290;6540;4325;377000000000
01/02/2020;6290;6480;6820;6035;212000000000
01/01/2020;6480;6695;7060;6480;155000000000
01/12/2019;6685;6280;6800;6270;128000000000
01/11/2019;6280;6300;6380;6210;130000000000
01/10/2019;6290;6010;6325;5950;125000000000
01/09/2019;6070;6100;6105;5780;126000000000
01/08/2019;6100;6190;6270;5765;153000000000
01/07/2019;6190;5995;6290;5865;105000000000
01/06/2019;5995;6000;6190;5790;118000000000
01/05/2019;5820;5800;5895;5140;170000000000
01/04/2019;5750;5550;5805;5450;115000000000
01/03/2019;5550;5565;5600;5425;117000000000
01/02/2019;5515;5680;5750;5335;149000000000
01/01/2019;5635;5200;5640;5115;186000000000
01/12/2018;5200;5215;5395;4980;170000000000
01/11/2018;5210;4770;5240;4670;194000000000
01/10/2018;4730;4800;4840;4435;144000000000
01/09/2018;4830;5010;5040;4720;145000000000
01/08/2018;4960;4680;5095;4605;171000000000
01/07/2018;4655;4330;4725;4120;144000000000
01/06/2018;4295;4590;4630;4165;130000000000
01/05/2018;4540;4420;4610;4295;173000000000
01/04/2018;4420;4690;4730;4210;135000000000
01/03/2018;4660;4620;4760;4505;185000000000
01/02/2018;4635;4570;4940;4570;147000000000
01/01/2018;4545;4380;4690;4265;169000000000
01/12/2017;4380;4165;4550;4130;140000000000
01/11/2017;4070;4200;4325;4070;178000000000
01/10/2017;4180;4110;4275;4010;167000000000
01/09/2017;4060;3795;4075;3735;149000000000
01/08/2017;3790;3775;3840;3700;111000000000
01/07/2017;3740;3680;3800;3615;152000000000
01/06/2017;3630;3485;3665;3465;189000000000
01/05/2017;3430;3550;3710;3360;312000000000
01/04/2017;3550;3315;3600;3315;179000000000
01/03/2017;3310;3080;3400;3070;225000000000
01/02/2017;3090;3100;3140;3000;128000000000
01/01/2017;3060;3100;3175;2990;106000000000
01/12/2016;3100;2860;3110;2825;193000000000
01/11/2016;2860;3100;3130;2790;233000000000
01/10/2016;3105;3190;3240;3070;153000000000
01/09/2016;3140;2970;3200;2960;211000000000
01/08/2016;3010;2875;3100;2875;250000000000
01/07/2016;2890;2675;2935;2640;243000000000
01/06/2016;2665;2620;2690;2525;182000000000
01/05/2016;2600;2620;2660;2575;160000000000
01/04/2016;2610;2660;2690;2555;154000000000
01/03/2016;2660;2695;2785;2610;189000000000
01/02/2016;2695;2620;2715;2575;213000000000
01/01/2016;2620;2635;2710;2550;188000000000
01/12/2015;2660;2540;2760;2540;124000000000
01/11/2015;2475;2560;2750;2475;148000000000
01/10/2015;2580;2460;2755;2375;173000000000
01/09/2015;2455;2570;2570;2260;129000000000
01/08/2015;2580;2585;2780;2200;184000000000
01/07/2015;2620;2720;2780;2530;112000000000
01/06/2015;2700;2800;2825;2610;142000000000
01/05/2015;2825;2695;2900;2680;140000000000
01/04/2015;2695;2975;3120;2580;207000000000
01/03/2015;2965;2830;2965;2805;152000000000
01/02/2015;2820;2670;2910;2650;115000000000
01/01/2015;2675;2655;2685;2560;118000000000
01/12/2014;2625;2640;2685;2565;103000000000
01/11/2014;2620;2630;2705;2500;119000000000
01/10/2014;2610;2715;2715;2410;145000000000
01/09/2014;2615;2340;2625;2325;150000000000
01/08/2014;2240;2345;2370;2190;90560000000
01/07/2014;2320;2175;2360;2175;150000000000
01/06/2014;2200;2200;2280;2140;110000000000
01/05/2014;2155;2220;2305;2155;114000000000
01/04/2014;2200;2140;2250;2085;184000000000
01/03/2014;2120;2040;2225;2030;188000000000
01/02/2014;2045;1980;2110;1940;146000000000
01/01/2014;1985;1910;2070;1850;174000000000
01/12/2013;1920;1930;1970;1850;87036000000
01/11/2013;1930;2050;2130;1910;113000000000
01/10/2013;2090;1950;2160;1950;103000000000
01/09/2013;2000;1820;2500;1690;155000000000
01/08/2013;1810;2080;2190;1700;124000000000
01/07/2013;2080;1990;2090;1820;102000000000
01/06/2013;2000;2070;2070;1780;232000000000
01/05/2013;2070;2140;2230;2070;116000000000
01/04/2013;2150;2200;2250;2090;134000000000
01/03/2013;2280;2180;2280;2080;114000000000
01/02/2013;2200;1930;2260;1930;113000000000
01/01/2013;1930;1820;1950;1770;121000000000
01/12/2012;1820;1750;1900;1750;95950000000
01/11/2012;1760;1630;1880;1630;93368000000
01/10/2012;1640;1580;1650;1560;111000000000
01/09/2012;1580;1550;1630;1550;106000000000
01/08/2012;1550;1600;1610;1530;112000000000
01/07/2012;8000;7300;8050;7250;29390000000
01/06/2012;7300;7100;7500;6750;24888000000
01/05/2012;7000;7950;8100;7000;31093000000
01/04/2012;8000;8000;8250;7750;17854000000
01/03/2012;8000;7600;8150;7450;19620000000
01/02/2012;7600;8000;8250;7200;45036000000
01/01/2012;8000;8000;8250;7850;20547000000
01/12/2011;8000;8100;8250;7700;16516000000
01/11/2011;7900;8050;8400;7450;30788000000
01/10/2011;8100;7500;8150;7050;25110000000
01/09/2011;7700;8100;8500;6950;30252000000
01/08/2011;8000;8350;8850;7250;41738000000
01/07/2011;8300;7650;8500;7550;21064000000
01/06/2011;7650;7100;7700;7000;19975000000
01/05/2011;7100;7400;7500;7000;18378000000
01/04/2011;7400;6950;7700;6800;17586000000
01/03/2011;6950;6300;7000;6300;27050000000
01/02/2011;6300;5650;6450;5550;27557000000
01/01/2011;5650;6550;6650;5300;45521000000
01/12/2010;6400;6200;6750;6150;23310000000
01/11/2010;6050;7050;7200;6050;24985000000
01/10/2010;7000;6900;7100;6550;22099000000
01/09/2010;6700;5850;6900;5850;18694000000
01/08/2010;5800;6000;6150;5650;16187000000
01/07/2010;5950;5900;6300;5500;15312000000
01/06/2010;5950;5500;6000;5250;22230000000
01/05/2010;5550;5450;5600;4825;42462000000
01/04/2010;5450;5550;6200;5400;25040000000
01/03/2010;5500;4875;5850;4800;26718000000
01/02/2010;4875;4900;5100;4425;22886000000
01/01/2010;5000;4825;5150;4725;17359000000
01/12/2009;4850;4800;5000;4625;14101000000
01/11/2009;4800;4500;4825;4475;14405000000
01/10/2009;4575;4700;5500;4200;42947000000
01/09/2009;4625;4275;4850;4200;16872000000
01/08/2009;4250;3775;4425;3775;24397000000
01/07/2009;3775;3525;3850;3425;50261000000
01/06/2009;3525;3425;4025;3375;50302000000
01/05/2009;3375;3400;3600;3125;26563000000
01/04/2009;3350;3125;3625;3025;31911000000
01/03/2009;3100;2350;3250;2275;35024000000
01/02/2009;2350;2750;2850;2300;27767000000
01/01/2009;2750;3350;3700;2700;27806000000
01/12/2008;3250;2675;3325;2525;23743000000
01/11/2008;2700;2775;3000;2450;30847000000
01/10/2008;2700;2900;3250;2000;40575000000
01/09/2008;3150;3200;3400;2500;44035000000
01/08/2008;3175;3025;3250;2800;24343000000
01/07/2008;3025;2500;3125;2475;43794000000
01/06/2008;2475;2800;2825;2275;46612000000
01/05/2008;2775;3050;3250;2750;37257000000
01/04/2008;3000;3275;3325;2675;62807000000
01/03/2008;3250;3500;3625;2825;54877000000
01/02/2008;3575;3575;3675;3225;50040000000
01/01/2008;3550;3650;3650;2950;44657000000
01/12/2007;3650;3550;3800;3475;41736000000
01/11/2007;3550;3700;3775;3300;45704000000
01/10/2007;3650;3125;3700;3100;36840000000
01/09/2007;3075;3000;3250;2900;21950000000
01/08/2007;3000;3100;3100;2625;55779000000
01/07/2007;3150;2725;3275;2725;56754000000
01/06/2007;2725;2625;2750;2600;52433000000
01/05/2007;2625;2650;2825;2575;32370000000
01/04/2007;2650;2575;2775;2550;30050000000
01/03/2007;2550;2462;2625;2388;25104000000
01/02/2007;2462;2550;2725;2350;28733000000
01/01/2007;2550;2600;2700;2300;37846000000
01/12/2006;2600;2675;2700;2450;27821000000
01/11/2006;2650;2325;2775;2325;47829000000
01/10/2006;2325;2412;2425;2262;45336000000
01/09/2006;2412;2262;2462;2200;61544000000
01/08/2006;2275;2100;2275;2038;64575000000
01/07/2006;2088;2050;2200;1950;35847000000
01/06/2006;2050;2062;2088;1838;43993000000
01/05/2006;2050;2188;2350;1938;55459000000
01/04/2006;2188;2088;2462;2038;40550000000
01/03/2006;2088;1800;2125;1788;39909000000
01/02/2006;1800;1812;1862;1738;17652000000
01/01/2006;1812;1675;1850;1675;33337000000
01/12/2005;1700;1650;1788;1638;46014000000
01/11/2005;1650;1625;1662;1462;64548000000
01/10/2005;1612;1688;1800;1588;43929000000
01/09/2005;1725;1700;1825;1638;59186000000
01/08/2005;1712;1825;1912;1550;67931000000
01/07/2005;1825;1800;1838;1725;31540000000
01/06/2005;1800;1725;1850;1712;39029000000
01/05/2005;1738;1550;1738;1538;35815000000
01/04/2005;1538;1700;1725;1488;119000000000
01/03/2005;1700;1625;1950;1588;137000000000
01/02/2005;1638;1438;1688;1438;62988000000
01/01/2005;1438;1475;1575;1362;83222000000
